20191026,渝北,北环,可住家可办公 轻轨+公园+龙湖品质 70年产权,61万,中楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 48.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3e5a56e1-a15d-4666-8800-48677a509bbc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质房 正规大三房 业主诚心卖 小区绿化好,260万,中楼层(共18层)                                                    | 2005年建 |                                 3室2厅 | 115平米                                  | 西南,https://ke-image.ljcdn.com/500000-frame/35ce7ff7-0966-45ef-9f1c-d0ea9ddd89b0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,良好装修，户型方正，采光充足，配套成熟，交通便利,135万,高楼层(共37层)                                                    | 2008年建 |                                 2室1厅 | 76平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/b136d98e-7a0a-4568-8d09-5388a11bd313.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,三轻轨出行，标准的单间配套，水电气三通。商品房。,70万,高楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 51平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/20087508-c474-4c94-a000-79df99d162038.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,中间楼层 视野开阔 带飘窗 带阳台,73万,中楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 53平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/7c313268-5391-4702-8de4-df721b6de8366.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,劲力五星城 4室1厅 东南,249万,中楼层(共26层)                                                    | 2007年建 |                                 4室1厅 | 138平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/cd3a53c4-2a5b-46f3-a675-530aeb371169.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,劲力五星城 4室2厅 南 东南,270万,低楼层(共31层)                                                    | 2007年建 |                                 4室2厅 | 130平米                                  | 南 东南,https://ke-image.ljcdn.com/500000-frame/d9982c64-c57f-4756-956d-aa700f0dcf8a0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北区 冉家坝 红星美凯龙  劲力五星城自由地,92万,中楼层(共31层)                                                    | 2011年建 |                                 1室1厅 | 50.81平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/46a0fc7b-7839-4a95-a6fd-a4fb2ae19cd6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖MOCO 3室1厅 南 北,150万,低楼层(共30层)                                                    | 2008年建 |                                 3室1厅 | 82.04平米                                  | 南 北,https://ke-image.ljcdn.com/500000-frame/e6557de6-8ed5-4c38-8027-a67ee875bb1e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质三房，正看动步公园，视野开阔，住家精装修,250万,中楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 121平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/899c0c19-8aa9-4dcc-bff1-56ca5278a0402.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,两江新区  劲力五星城自由地    带租约出租,93万,高楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 49平米                                  | 北,https://ke-image.ljcdn.com/hdic-frame/ca976a76-4492-4782-ae9e-030a4f347c30.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环 劲力五星城自由地 星光指标 精装修,93万,中楼层(共31层)                                                    | 2011年建 |                                 1室1厅 | 46平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/22ef39b3-97e7-479b-a4b3-419431ea57a6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,近轻轨 龙湖品质 总价低 刚需紧凑小户型,70万,高楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 51平米                                  | 南 北,https://ke-image.ljcdn.com/500000-frame/16d9f4df-8f4b-44ea-bc90-38b8f3acf6ab.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 龙湖品质160平4房加书房户型 正看公园通车库,300万,高楼层(共31层)                                                    | 2005年建 |                                 4室2厅 | 160平米                                  | 东北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,枫林秀水前后花园洋房带车位 别墅小区品质,500万,低楼层(共5层)                                                    | 2004年建 |                                 4室2厅 | 190平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,龙湖水晶郦城阔景小高层，住家安静，品质楼盘住家优选,265万,低楼层(共18层)                                                    | 2005年建 |                                 4室2厅 | 145平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,享受品质生活从现在开始-龙湖水晶郦城,230万,中楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,渝北冉家坝三线轻轨居家小户型 楼下就是永辉超市,77万,中楼层(共31层)                                                    | 2008年建 |                                 1室1厅 | 53平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,龙湖高档商品房，环境优美。正规三房新上,195万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 120.14平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,住家装修三房 安静 好住家 带星光,180万,低楼层(共27层)                                                    | 2011年建 |                                 3室1厅 | 88平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,冉家坝龙湖水晶郦城品质三房诚心出售,210万,低楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 120平米                                  | 东北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,星光 清水大四房 永辉超市楼上 可随时看房签约,252万,低楼层(共27层)                                                    | 2011年建 |                                 4室2厅 | 129平米                                  | 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,星光 安静 视野好 住家装修保持好 业主诚心卖,230万,低楼层(共27层)                                                    | 2011年建 |                                 3室2厅 | 108平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,冉家坝劲力五星城带双露台精装三房,230万,低楼层(共31层)                                                    | 2007年建 |                                 3室2厅 | 115平米                                  | 西北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,正规大三房， 成熟位置，三轻轨,170万,低楼层(共16层)                                                    | 2002年建 |                                 3室2厅 | 131平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,龙湖水晶郦城 安静三居室 住家装修新上,251万,低楼层(共18层)                                                    | 2005年建 |                                 3室2厅 | 116平米                                  | 西南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,龙湖品质房，业主诚心卖 小区绿化好,240万,高楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 114平米                                  | 东南 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,北环,冉家坝华融旁  低楼层  采光好 视野开阔 户型方正新上,73万,低楼层(共37层)                                                    | 2008年建 |                                 1室0厅 | 47.35平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/aa1b868f-4dd7-4b11-90a0-7d8b6b8945d0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖精装4房 装修保养好 视野开阔 采光好,270万,中楼层(共18层)                                                    | 2005年建 |                                 4室2厅 | 144.68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-16994f4e-5389-4b35-abf1-d194689ffd32.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环金科蚂蚁3室2厅2卫1阳台装修端头跃层,98万,高楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 52.96平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ec811902-b5de-43af-82c9-2956ab7e3aeb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北 冉家坝 红星美凯龙 金科蚂蚁4套一起卖,55万,低楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 39平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-6ea7bf2a-33b2-4cd6-803c-2855fd008017.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 龙湖水晶郦城精装三房 视野开阔 采光好,219万,高楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 121平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-d8169c08-9383-4341-aa0f-7b27e8ece249.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北 北环 劲力五星城自由地 精装三房 配套成熟,225万,低楼层(共27层)                                                    | 2011年建 |                                 3室2厅 | 108平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b2ebc676-ca7a-4527-b0cb-65d504a3521d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北 冉家坝 红星美凯龙 金科蚂蚁4套一起卖,55万,低楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 39平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-be19285f-cb42-43d3-9c63-5758d0dce57d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北 冉家坝 红星美凯龙 金科蚂蚁4套一起卖,55万,低楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 39平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-f8371e79-8564-42b6-88d3-402f6dba14f1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北 冉家坝 红星美凯龙 金科蚂蚁4套一起卖,55万,低楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 39平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-18ef06d5-6fbd-49d6-95b4-aa79a07e5c1d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,中间楼层 冉家坝轻轨  采光好 低总价,80万,低楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 52.96平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/rsp_pic_upload26fdc501-f256-4f3d-8b35-bbe398d13adb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖物业 住家装修 正规两房 住家安静,195万,低楼层(共31层)                                                    | 2007年建 |                                 2室1厅 | 90平米                                  | 南 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
