20191026,渝北,石子山,冉家坝 天邻风景 精装三房 视野开阔 采光很好 大阳台,135万,低楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 110平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-06d12ee0-2e39-44cb-bae6-6ddc672c80cc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装修拎包入住，龙湖源著北区，正规一室 居家安静,102万,中楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 51.42平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-44d42265-196f-426a-adac-b2e3323b5762.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,佳居花园大户型 单价低 目前业主诚心出售新上,150万,中楼层(共28层)                                                    | 2008年建 |                                 4室2厅 | 156平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_yARLohih2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,小区中庭位置，精装修，高楼层，视野好，大露台,220万,高楼层(共32层)                                                    | 2008年建 |                                 4室2厅 | 105平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-70484e07-cf8e-4fb0-ac4f-710c79c5d2ac.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著精装小两房，保持新，风格清爽简约,120万,中楼层(共39层)                                                    | 2015年建 |                                 2室2厅 | 58平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-a5e68274-378c-45a2-b1b9-85e6a5e2a0d5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,体育公园旁，精装大两房，保持很好,140万,高楼层(共27层)                                                    | 2008年建 |                                 2室2厅 | 91.8平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_GdUO33qcL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,诚投天邻风景 2室1厅 东北,155万,低楼层(共32层)                                                    | 2008年建 |                                 2室1厅 | 91.65平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-34d530b3-6d1c-49e8-8aaf-8381359be16b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,一楼清水洋房 端头户型三面花园 带地下室,460万,低楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 177.67平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-26c3b3f7-bfe9-4f2f-b477-af63609f8578.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝天邻风景清水三房，视野好,156万,中楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 110平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-0e531fb5-a85d-44f2-aa88-c47048743f60.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,朝南正中庭三房，安静舒适视野好，少有的纯清水户型,175万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 125.49平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/0accc149-81f0-4855-b373-279e1c3cc739_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,套内74的端头小三房 客厅朝东卧室朝南看体育公园,165万,低楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 96.51平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-8b8f5625-6bec-4bf2-8a9c-ef694dc394bc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝 5号6号线环线 朝中庭 装修大三房 底单价,135万,高楼层(共28层)                                                    | 2008年建 |                                 3室2厅 | 123.72平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-cb6709fb-0b99-4a4b-9409-c3ad3182ce8b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,此房满两年，中装 视野好，无遮挡。,189万,中楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 115平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-d0a13ea0-ebae-45dc-8599-2659285d4885.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区，精装小两房，带租约,110万,低楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-eb94b201-27f4-40e3-86d7-7912bcb157bd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 大平层住家装修 诚心出售 看房方便,350万,高楼层(共33层)                                                    | 2011年建 |                                 4室2厅 | 172平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e6aa4caa-65bf-42bf-ac1e-caa5de48a378.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北佳居花园业主诚心出售看房方便有钥匙,135万,低楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 122.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-d01a12f8-5723-4cb4-964f-a7b4621b0196.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝+天邻风景+清水+三房+大平层,180万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 159.86平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_x4lRDOBZ6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝位置，大三房带大阳台，户型方正，视野开阔,208万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 161平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-7f27544f-932a-4768-9f6b-8329fecc3d50.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,住家装修，龙湖源著北区两居室，中间楼层采光好,160万,低楼层(共33层)                                                    | 2011年建 |                                 2室1厅 | 87.47平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_QnbsKnu9W_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装三房，住家安静，看石子山体育公园，交易方便,170万,低楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 117平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-2686fc47-24a7-49fd-a78b-5de9e6ecec05.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著南区端头三房，客厅朝东卧室看体育公园视野开阔,220万,高楼层(共32层)                                                    | 2012年建 |                                 3室1厅 | 91平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_xJXBRVcDv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,满两年中间楼栋住家安静楼层视野好看小区中庭装修好,210万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 150.51平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-699e4eb4-8966-4d00-b10f-85713047780f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,天邻风景 简装修2房 低楼层   朝中庭  住家安静,139万,低楼层(共32层)                                                    | 2008年建 |                                 2室2厅 | 86平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-85579be3-5eab-4cd4-af40-8d37d3890435.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,花园洋房 带露台 采光视野好 诚心出售,350万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 150.21平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/test-39225840-d00f-40c2-bf3d-c1405972c877.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝轻轨房，住家三居，业主诚心,150万,低楼层(共28层)                                                    | 2008年建 |                                 3室2厅 | 123.89平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-d4d21d68-24ea-4844-93d2-fb6e88a8dac9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,北岸新洲 清水房 户型方正 配套好出 行方便 带指标,220万,中楼层(共11层)                                                    | 2008年建 |                                 4室2厅 | 169.68平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-dc7701af-bd32-4689-beb7-e3fbd4ffb083.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖品质 小区里面 花园洋房 带大露台 随时看房,360万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 152.89平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-831216b9-1646-4950-9dec-409c08666826.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 两江春城清水三房双卫 采光好 轻轨旁,190万,中楼层(共33层)                                                    | 2016年建 |                                 3室2厅 | 98平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_97L4vYDOw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区，装修两房，龙湖物业，小区环境好。,160万,低楼层(共33层)                                                    | 2011年建 |                                 2室1厅 | 82.48平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-00581b8c-856c-46fd-be3f-df5a99c9e516.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,此房满5年，业主诚心出售。户型方正，朝中庭新上,133万,高楼层(共31层)                                                    | 2008年建 |                                 3室1厅 | 92平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-02be10e6-972c-44c6-b8e3-87906bf7f7a4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 3室1厅 西,160万,低楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 96.55平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-b5a832ad-fcca-4700-951b-fc57d27dcc0a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著天街旁，三房大户型，交通便利，住家安静舒适。,199万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 150.72平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-bb89ad1d-c0c3-4257-8fed-8d7b8fc9a7c6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,该房北岸新洲正规两室两厅一厨一卫价格便宜,160万,低楼层(共27层)                                                    | 2008年建 |                                 2室2厅 | 97.3平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-fcac2c77-c04b-4f4a-8cf7-12932da8e324.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 中间层洋房  内圈位置 安静舒适,360万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 163.96平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-1c47d54b-fee8-45eb-96af-f4c922072942.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,临天街+挨轻轨+靠公园+佳居花园稀有小户型带车位出售,175万,高楼层(共27层)                                                    | 2005年建 |                                 3室2厅 | 140.95平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-6b2a97a2-ff11-4988-a58a-45d6f3da8c6d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,住家装修，龙湖源著北区两居室，高楼层采光好,190万,高楼层(共33层)                                                    | 2011年建 |                                 2室2厅 | 88.29平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-6c1b808a-0fc9-4dab-9879-4396fd1cdd3b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城春逸苑清水洋房，板式结构，户型好，带花园。,380万,低楼层(共6层)                                                3室2厅 | 135.93平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d853b58c-e6be-48d6-ab6f-4fb91d3c0be4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江新区北岸新洲精装小三房，拎包入住,160万,高楼层(共27层)                                                    | 2008年建 |                                 3室2厅 | 104.86平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-15bc4da6-5e61-46c0-8357-3df07dac8849.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著天街旁 体育公园东侧  小区中庭内圈 三房双卫,156万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 105平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-7a07419d-d0d1-4923-ad8d-be5e3b3f5eeb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 精装四房 户型方正 阳台较大,180万,高楼层(共30层)                                                    | 2005年建 |                                 4室2厅 | 160平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-9f080087-f9fd-49ca-93b1-fe1e097345c6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,朝南看中庭 安静 交通便利 看房随时,105万,高楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 91.76平米                                  | 东 南,https://ke-image.ljcdn.com/500000-inspection/pc1_6VRPVGJFw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 天邻风景 正规大三房带  纯清水住家安静,180万,低楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 151平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-712cfa96-a59a-4054-9bad-359de8523ef5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,清水房 中间楼层 采光充足 带阳台,150万,中楼层(共33层)                                                    | 2016年建 |                                 2室2厅 | 76.84平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-33af2789-d950-425b-85dc-cf1a1db47e4a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装好房，户型方正，品牌家具家电，拎包入住。,220万,高楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 90平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-b1985b30-9ab2-44a4-9b97-2dcfd42bbffe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区大三房横厅户型，看公园视野好,275万,中楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 139平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-ed020366-d758-4709-90f9-014b6f31e772.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 精装大两房 看小区中庭 星光在手,142万,高楼层(共27层)                                                    | 2008年建 |                                 2室1厅 | 103平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-c92c5e0a-d926-4150-905f-b7d755f57b29.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,端头户型 低楼层朝东 业主自住精装 诚心卖,196万,低楼层(共32层)                                                    | 2012年建 |                                 3室1厅 | 91平米                                  | 东 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_gytKuEY0c_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,中庭位置朝南，位置安静，户型方正,180万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 125平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c4495c6c-0190-4d20-8f5e-5156547833a0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著北区花园洋房 中庭位置安静，有车位价格另算,365万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 147.67平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-ccb564a2-3166-4a15-888f-e0105d010adb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装两房，视野看公园，安静天街轻轨,198万,低楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 91.02平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_KuQzDEwWV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装修，拎包入住，正规3房出行方便 临天街体育公园,158万,高楼层(共27层)                                                    | 2008年建 |                                 3室1厅 | 104.05平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_Uw9rxis6L_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区，精装朝中庭 两房带家具出售 出行方便,130万,低楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-f0cdf7bc-adad-4b72-9ec6-f1be93c6c156.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,装修正规大四房 户型方正 中间楼层 采光好 房屋满2,250万,高楼层(共21层)                                                    | 2005年建 |                                 4室2厅 | 164平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-6394fcec-42eb-4d23-9deb-6a57931ba160.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区清水洋房安静小区门口天街轻轨,368万,中楼层(共11层)                                                    | 2012年建 |                                 4室1厅 | 147.09平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_21vBMzRpU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,北岸新洲 3室1厅 南,190万,高楼层(共11层)                                                    | 2008年建 |                                 3室1厅 | 116平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-47ac2cf9-22d9-4a2e-8cea-7433b2bc46be.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,清水房，采光视线好，无遮挡，在小区中庭，户型方正。,300万,中楼层(共7层)                                                3室2厅 | 128平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-e65e7b30-872c-4dee-8e0d-0ca33354a6ab.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝+临天街+挨轻轨+靠公园+佳居花园纯清水4房,200万,中楼层(共27层)                                                    | 2005年建 |                                 4室2厅 | 182平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-948a21ad-d880-49f4-9eb2-ae4ebbbe81eb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著 中间层洋房 楼间距开阔 清水房,345万,中楼层(共8层)                                                    | 2011年建 |                                 3室2厅 | 152平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-12c98d48-0308-4500-b5d6-211ee5c7070e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区精装房 业主诚心出售,108万,高楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 58.43平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-2d865622-9fb4-4897-af9f-2582eaed63e0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区清水小两房、地铁+天街出行方便快捷,128万,低楼层(共34层)                                                    | 2012年建 |                                 2室1厅 | 57平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-631520f8-c0b6-4d3c-83b3-33e6fb381a5a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,清水房，采光无遮挡，小区环境好。,270万,低楼层(共6层)                                                    | 2018年建 |                                 3室2厅 | 114平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-21af9369-4455-4c3a-81b7-fd7f374a1b11.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区精装房 业主诚心出售,108万,高楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 58.43平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-2d865622-9fb4-4897-af9f-2582eaed63e0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区清水小两房、地铁+天街出行方便快捷,128万,低楼层(共34层)                                                    | 2012年建 |                                 2室1厅 | 57平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-631520f8-c0b6-4d3c-83b3-33e6fb381a5a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,清水房，采光无遮挡，小区环境好。,270万,低楼层(共6层)                                                    | 2018年建 |                                 3室2厅 | 114平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-21af9369-4455-4c3a-81b7-fd7f374a1b11.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著公园六栋清水三房，看小区中庭,260万,中楼层(共33层)                                                    | 2011年建 |                                 3室1厅 | 120平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_NHT2Liucc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,该房北岸新洲的房子，业主诚心出售,140万,低楼层(共27层)                                                    | 2008年建 |                                 2室2厅 | 91.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-2c9f8f7c-0c64-4bc0-b362-d6a856195dcd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,清水洋房，居家安静，双阳台，轻轨+天街,300万,中楼层(共7层)                                                    | 2014年建 |                                 3室1厅 | 135平米                                  | 东 西,https://ke-image.ljcdn.com/500000-inspection/pc1_jYBTFY0AK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,盘溪路龙湖源著北区清水一楼洋房，带前后花园和地下室,400万,低楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 177.67平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-a673fa0a-4b02-4521-8056-6d296fa6f399.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,天邻风景  清水大3房 户型方正  采光好 看体育公园,185万,高楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 150.51平米                                  | 南 西,https://ke-image.ljcdn.com/500000-inspection/pc1_7mMSj0aSG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 1室1厅 南,85万,高楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 52.27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-dd731407-6f97-4d9f-bdb6-049fea915d8b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,此房朝南朝，视野开阔，采光好，冉家坝三轻轨交汇,140万,中楼层(共31层)                                                    | 2008年建 |                                 3室1厅 | 122平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_8ghYBgfP1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区精装两房小区门口天街轻轨新上,200万,中楼层(共34层)                                                    | 2012年建 |                                 2室1厅 | 91平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_6KsQNFcSx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,天街旁带大阳台，正规三房两卫，装修房视野开阔,165万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 110平米                                  | 南 东,https://ke-image.ljcdn.com/500000-inspection/pc1_YYLRJrzbp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区+南向采光充足+出门天街体育公园+轻轨,195万,高楼层(共32层)                                                    | 2012年建 |                                 2室1厅 | 86.27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-7ed9839c-90d7-4c6b-a777-bf39f39a4b79.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,环线轻轨旁 龙湖源著北区 精装1房 可住,96万,高楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 52平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-fd4dc679-fe13-423e-876c-b196277beee5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区 清水大两房  中间楼层视野好 安静,180万,中楼层(共32层)                                                    | 2012年建 |                                 2室1厅 | 83.87平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-a2bebb87-e084-4b6d-abaf-c4d57a70d568.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区三期简装办公装修三房,168万,低楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 96平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-7c06cd2b-2ad3-490d-a1df-4efb954ae376.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区龙湖源著北区  装修正规两房  楼层适中,170万,低楼层(共33层)                                                    | 2011年建 |                                 2室1厅 | 86平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_FZwzN02nN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区洋房，标准四房两卫，看体育公园,350万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 147.67平米                                  | 东 西,https://ke-image.ljcdn.com/500000-inspection/prod-6b4d97d0-33e5-481e-b4e5-baf4016e87b5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,房子楼层适中，采光视野比较好，南北通透的户型,350万,低楼层(共37层)                                                    | 2011年建 |                                 4室1厅 | 151.39平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-3ffc7939-fa65-4ce7-ae10-1f22f123b619.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝+天邻风景+清水三房+有保姆间+看中庭,200万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 159平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-05b57aa4-92dd-45c6-a3d7-8c2fe19970c6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著南区（安静）看公园（视野好）环线旁（品质高）,190万,高楼层(共34层)                                                    | 2013年建 |                                 2室2厅 | 83.74平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-82792938-e8c5-49f8-8afe-a32122b7b521.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,北环新小区 两江春城春玺苑 顶跃洋房 轻轨+天街,430万,高楼层(共7层)                                                    | 2015年建 |                                 4室2厅 | 170.64平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_LM80WmyMs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,轻轨房、看中庭、视野好、安静、采光棒,175万,高楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 84平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_xoKirwUPW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区内圈洋房+双面花园+地下室+南北通透,410万,低楼层(共7层)                                                    | 2011年建 |                                 4室2厅 | 174平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-3730fd48-f8c9-47e7-9fca-19c6f5e4bffe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 佳居花园B区 享三轻轨 配套齐全 住家舒适,138万,中楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 122平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-7e9cc180-c38f-48b7-9c88-6a2fa4ffa71e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
